model,N,n_qubits,noise_regime,noise_level,replicate,train_auc,val_score,test_auc,gen_gap,best_epoch,restarts_used,escaped,n_train,n_params,seed,train_secs
equivariant,200,4,correlated,mid,8,0.8785882352941177,0.8346666666666667,0.8508540000000001,0.02773423529411756,26,1,True,200,61,4118718478,129.99
non_equivariant,200,2,none,none,6,0.7622180451127819,0.9348958333333334,0.770188,-0.007969954887218078,26,1,True,200,27,419792074,5.25
equivariant,1000,4,none,none,8,0.90336875,0.9008,0.865051,0.03831775000000004,41,1,True,1000,61,3479952711,62.48
classical_matched,500,0,none,none,13,0.6696667416685417,0.47218887555022016,0.624702,0.0449647416685417,26,1,True,500,61,2073905543,0.52
classical_matched,20,0,none,none,4,0.5714285714285714,0.6666666666666667,0.5904165,-0.018987928571428614,26,1,True,20,61,1549593952,0.11
equivariant,200,4,iid,mid,5,0.8478125,0.78,0.8362209999999999,0.011591500000000088,26,1,True,200,61,2273803658,408.98
equivariant,200,2,correlated,low,5,0.8703125,0.8200000000000001,0.8438615,0.026451000000000002,33,1,True,200,27,2273803658,147.39
non_equivariant,200,4,none,none,5,0.8271875,0.84,0.822967,0.00422049999999996,27,1,True,200,61,2273803658,9.31
equivariant,200,6,none,none,8,0.8498823529411764,0.8453333333333334,0.8159710000000001,0.03391135294117631,26,1,True,200,103,4118718478,38.97
equivariant,200,4,correlated,high,0,0.8671044402751721,0.7727272727272727,0.8270055,0.040098940275172135,28,1,True,200,61,3832603222,132.81
non_equivariant,500,4,none,none,13,0.8747468686717168,0.8471388555422169,0.851969,0.022777868671716828,26,1,True,500,61,2073905543,27.06
classical_matched,1000,0,none,none,5,0.6498915075757101,0.7179151124105253,0.639971,0.009920507575710169,43,1,True,1000,61,449171333,1.03
non_equivariant,200,8,correlated,low,4,0.8653846153846154,0.9873737373737373,0.815856,0.04952861538461539,28,1,True,200,153,359623383,3252.65
equivariant,200,2,correlated,low,8,0.8495686274509804,0.808,0.832654,0.01691462745098038,35,1,True,200,27,4118718478,150.24
