model,n_qubits,grad_var
equivariant,2,2.4153637163968614e-05
equivariant,4,8.45106948281546e-06
equivariant,6,2.5402771797770566e-06
equivariant,8,2.3260524216433026e-06
non_equivariant,2,2.0829166155887148e-05
non_equivariant,4,3.1389904341111224e-06
non_equivariant,6,3.4872613056072063e-06
non_equivariant,8,1.6911991382453283e-06
generic,2,0.00015299513482846383
generic,4,2.81768332571867e-05
generic,6,5.570610494581279e-06
generic,8,1.4320673269670536e-06
